120	100
582	1200
582	1302
582	1360
674	1200
674	1360
777	1017
777	1120
777	1200
777	1302
820	820
820	892
822	994
822	1051
822	1120
822	1177
822	1245
834	1302
857	1405
857	1497
857	1588
878	676
878	748
878	820
878	892
891	925
891	994
902	1051
902	1120
902	1177
902	1245
925	1302
936	676
936	748
936	892
960	380
960	925
960	994
994	1405
994	1497
1008	676
1008	748
1008	892
1017	925
1017	994
1028	1302
1058	924
1058	1008
1062	1280
1062	1360
1074	1417
1074	1497
1074	1588
1094	676
1094	748
1094	820
1094	892
1142	924
1142	1008
1154	1280
1154	1360
1165	1417
1165	1497
1165	1588
1166	676
1166	748
1166	892
1209	924
1209	1008
1224	676
1224	748
1224	820
1267	676
1267	748
1276	1008
1280	1280
1280	1360
1280	1417
1280	1497
1280	1588
1310	924
1310	1008
1320	620
1320	920
1394	924
1394	1417
1394	1497
1394	1588
1400	540
1405	1280
1405	1360
1417	1028
1417	1120
1417	1188
1417	1268
1420	500
1420	660
1420	900
1444	1008
1462	1348
1478	924
1480	560
1480	640
1497	1028
1497	1120
1497	1188
1497	1268
1497	1417
1497	1497
1497	1588
1512	1008
1532	1265
1540	560
1545	940
1545	1058
1600	560
1612	940
1614	1265
1629	672
1629	756
1629	840
1640	560
1663	789
1686	1110
1764	789
1466 1333 Jumbo2
