20	282	-52534.953	0.282
20	342	-49449.316	0.31
20	345	-47008.05	0.302
20	310	-51037.66	0.264
20	328	-49334.527	0.251
20	313	-48416.03	0.252
20	330	-53123.105	0.275
20	309	-51713.035	0.257
20	322	-51787.44	0.257
20	300	-48106.242	0.252
20	308	-48861.758	0.253
20	279	-50753.438	0.25
20	305	-49901.086	0.249
20	339	-48423.543	0.252
20	328	-48948.605	0.255
20	313	-50106.97	0.257
20	323	-48305.184	0.255
20	280	-52673.19	0.253
20	288	-52271.133	0.252
20	305	-56527.523	0.249
20	307	-48422.363	0.251
20	289	-51199.32	0.252
20	291	-49329.62	0.252
20	334	-47705.273	0.25
20	298	-51526.684	0.254
20	292	-54279.105	0.252
20	279	-55325.21	0.25
20	320	-49468.62	0.249
20	310	-55755.793	0.248
20	283	-52279.285	0.251
20	356	-45305.133	0.247
20	321	-50101.37	0.25
20	324	-47866.027	0.253
20	313	-53511.594	0.252
20	293	-52764.875	0.248
20	317	-48637.47	0.245
20	329	-48656.414	0.253
20	307	-48791.918	0.248
20	314	-53678.46	0.245
20	326	-48424.055	0.257
20	305	-47875.387	0.25
20	326	-49747.324	0.245
20	262	-53625.05	0.249
20	325	-48924.94	0.245
20	325	-51726.69	0.248
20	286	-49275.105	0.255
20	310	-48490.492	0.251
20	311	-50412.223	0.252
20	317	-48153.195	0.252
20	339	-48334.367	0.253
20	292	-50543.098	0.251
20	292	-52615.996	0.252
20	345	-48007.566	0.252
20	300	-55184.97	0.257
20	318	-51402.332	0.253
20	302	-49589.082	0.255
20	352	-46037.258	0.254
20	307	-48141.848	0.258
20	304	-51926.277	0.251
20	342	-46013.895	0.402
20	310	-47513.668	0.257
20	321	-49482.723	0.258
20	310	-49681.043	0.253
20	270	-53970.375	0.252
20	299	-59258.297	0.25
20	298	-52182.914	0.252
20	299	-48860.79	0.252
20	296	-58140.84	0.254
20	284	-52023.727	0.25
20	330	-50065.992	0.251
20	281	-51643.17	0.255
20	316	-49811.28	0.249
20	286	-56594.72	0.259
20	324	-49197.453	0.249
20	282	-50832.24	0.252
20	311	-48654.234	0.25
20	308	-49106.06	0.247
20	294	-49648.402	0.249
20	312	-50154.92	0.255
20	340	-48503.348	0.256
20	303	-49953.62	0.254
20	294	-55920.117	0.249
20	308	-48627.195	0.249
20	306	-49807.402	0.252
20	331	-52127.535	0.247
20	289	-50170.832	0.257
20	305	-48978.387	0.252
20	279	-50761.527	0.253
20	292	-53222.4	0.246
20	289	-51819.94	0.25
20	340	-48671.434	0.249
20	332	-46801.902	0.247
20	286	-51706.58	0.247
20	304	-47460.93	0.256
20	326	-48512.574	0.251
20	301	-49166.992	0.249
20	307	-50274.156	0.25
20	315	-51526.04	0.251
20	328	-48291.547	0.247
20	324	-49807.44	0.249
