0.04	325	-49117.633	0.634
0.04	320	-48310.08	0.691
0.04	308	-52670.734	0.624
0.04	301	-50662.324	0.605
0.04	286	-49794.348	0.607
0.04	321	-49153.457	0.631
0.04	351	-48652.67	0.637
0.04	306	-49270.34	0.614
0.04	317	-48068.332	0.61
0.04	336	-47315.688	0.607
0.04	327	-51295.113	0.612
0.04	276	-53191.457	0.614
0.04	286	-49745.145	0.603
0.04	270	-54311.96	0.599
0.04	352	-46576.293	0.592
0.04	311	-49012.25	0.612
0.04	317	-48699.69	0.602
0.04	300	-49485.02	0.62
0.04	295	-52536.9	0.601
0.04	323	-47925.94	0.607
0.04	338	-48574.02	0.606
0.04	306	-49335.855	0.617
0.04	299	-49414.754	0.61
0.04	298	-54753.87	0.61
0.04	307	-56591.45	0.604
0.04	327	-51081.805	0.606
0.04	331	-47881.887	0.621
0.04	301	-54488.074	0.613
0.04	325	-50997.977	0.611
0.04	301	-48641.164	0.601
0.04	279	-51195.56	0.605
0.04	322	-50833.848	0.596
0.04	343	-47281.965	0.611
0.04	283	-52055.445	0.625
0.04	292	-53607.215	0.605
0.04	345	-47304.82	0.598
0.04	330	-48514.266	0.61
0.04	317	-52132.62	0.601
0.04	291	-50664.008	0.608
0.04	305	-48890.336	0.605
0.04	280	-56011.41	0.605
0.04	316	-49110.137	0.612
0.04	300	-59456.1	0.615
0.04	309	-51262.6	0.613
0.04	280	-51791.887	0.609
0.04	329	-50903.918	0.603
0.04	338	-47906.766	0.62
0.04	297	-51749.94	0.61
0.04	315	-49930.836	0.594
0.04	281	-49242.812	0.599
