29	345	-35482.906
29	306	-37957.535
29	346	-33811.58
29	346	-39215.062
29	345	-34856.84
29	333	-37642.082
29	323	-39168.195
29	365	-34608.895
29	365	-41620.926
29	308	-41952.266
29	348	-36137.59
29	300	-40366.625
29	325	-37789.824
29	347	-38266.21
29	364	-32505.006
29	346	-35217.785
29	362	-35238.332
29	295	-41979.133
29	317	-37645.883
29	303	-37133.633
29	348	-38030.906
29	372	-34212.977
29	274	-40870.637
29	315	-39799.066
29	361	-37028.504
29	368	-33356.496
29	336	-36317.816
29	374	-33863.15
29	320	-36934.72
29	294	-41655.2
29	298	-41397.69
29	327	-35590.777
29	319	-39785.434
29	323	-37948.605
29	317	-38301.234
29	281	-44458.152
29	373	-31956.03
29	358	-33228.7
29	321	-42936.957
29	357	-35434.285
29	306	-39055.906
29	342	-34903.96
29	354	-34656.574
29	319	-38868.863
29	338	-36490.62
29	325	-37711.54
29	352	-38807.863
29	339	-40115.254
29	346	-34673.273
29	345	-36519.84
29	303	-37431.902
29	363	-34836.656
29	362	-37486.07
29	288	-46742.844
29	320	-44678.547
29	286	-44441.273
29	299	-39594.72
29	294	-40165.24
29	321	-38759.047
29	352	-37675.02
29	331	-38133.598
29	313	-37594.45
29	346	-37122.17
29	349	-35977.418
29	356	-35517.742
29	347	-33705.07
29	378	-32905.13
29	343	-37106.85
29	359	-33798.246
29	338	-38182.086
29	335	-43005.246
29	340	-35692.805
29	343	-36455.496
29	333	-38140.703
29	324	-37788.348
29	354	-42279.39
29	313	-41586.816
29	332	-37694.715
29	333	-37253.504
29	358	-38690.754
29	282	-39884.82
29	355	-34815.86
29	336	-36632.26
29	315	-38168.59
29	351	-38450.184
29	343	-34410.96
29	367	-33237.895
29	353	-35413.05
29	356	-32479.492
29	310	-37740.99
29	331	-37389.848
29	333	-39497.562
29	365	-34150.7
29	339	-35374.07
29	366	-33392.203
29	303	-39353.77
29	378	-35482.633
29	301	-40799.164
29	329	-39417.363
29	347	-35637.465
